,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,component 1,component 2,component 3,K-means PCA,Segment
6121,SF000508870,"WILLOWMORE, SF",-33.283,23.5,842.0,2022-12-09,0.0,26.2,37.4,18.9,-16.775017192118522,0.003294517361732733,-1.510427978884356,0,Solar
7379,SF004722810,"LICHTENBURG, SF",-26.133,26.167,1487.0,2022-10-01,0.0,23.4,32.7,16.0,-10.595136385240028,-0.26690862815653177,-1.3813446652569683,0,Solar
10275,SF000236780,"ROBERTSON, SF",-33.8,19.9,204.0,2022-11-12,0.0,21.5,32.7,13.2,-8.529282416498347,-1.9201609653671838,0.7199378375002693,0,Solar
7401,SF004722810,"LICHTENBURG, SF",-26.133,26.167,1487.0,2022-11-01,0.0,19.3,28.9,14.2,-5.107844208429066,-0.5934582687413701,-0.7553509622598222,0,Solar
955,SF000798110,"DOHNE, SF",-32.517,27.467,900.0,2023-02-23,0.0,24.3,33.8,16.0,-11.826132706364834,-0.4670360911232857,-1.1996714405400772,0,Solar
6915,SF001290070,"CAPE HERMES, SF",-31.633,29.55,47.0,2022-10-21,0.0,21.8,25.8,18.5,-5.6685783028120555,2.9221531509840504,-5.387887693711355,0,Solar
8769,SF001344780,"CALVINIA, SF",-31.467,19.767,975.0,2023-02-13,0.0,25.7,34.0,9.2,-9.400591322456775,-3.378736961979646,1.4686902618009694,0,Solar
6628,SF001485170,"JAMESTOWN, SF",-31.117,26.8,1603.0,2022-12-23,1.0,18.8,25.9,14.9,-2.838026041831961,1.4510926284697017,-1.8118231944434857,0,Solar
911,SF000798110,"DOHNE, SF",-32.517,27.467,900.0,2023-01-10,0.0,25.3,34.1,18.5,-13.625198235087275,0.7710196641831683,-2.62898612225586,0,Solar
5625,SF002760720,"VIOOLSDRIF, SF",-28.7,17.6,168.0,2023-02-18,0.0,26.6,35.6,19.3,-15.70381545108845,0.8788934158527287,-2.783317120059462,0,Solar
2942,SF002146700,"SPRINGBOK, SF",-29.667,17.9,1007.0,2022-10-02,0.0,23.0,29.9,17.5,-8.921716429306763,1.298251255966515,-3.3377230647272165,0,Solar
7783,SF000288380,"GEORGE AIRPORT, SF",-34.017,22.383,190.0,2023-03-24,0.3,21.2,31.0,15.7,-8.217962662225831,-0.013547786089435273,-1.0050524083196812,0,Solar
3520,SFM00068816,"CAPE TOWN INTERNATIONAL, SF",-33.965,18.602,46.0,2023-01-03,0.0,19.7,25.2,14.5,-2.493170067980491,0.8848204164439989,-2.9513175271679426,0,Solar
4051,SF000570480,"GRAHAMSTOWN, SF",-33.283,26.5,642.0,2023-01-18,0.0,25.3,37.1,21.0,-17.147104554131847,0.8927111264655369,-2.258791740846505,0,Solar
283,SF000068296,"SKUKUZA, SF",-24.983,31.6,271.0,2022-08-18,0.0,23.1,35.6,0.0,-5.347783664901753,-8.64732030163884,7.652781325058299,0,Solar
11433,SF001130250,"FRASERBURG, SF",-31.917,21.517,1268.0,2023-04-05,0.0,21.9,29.6,8.0,-3.839836989841825,-3.167098781100114,1.3834433351948392,0,Solar
10354,SF000236780,"ROBERTSON, SF",-33.8,19.9,204.0,2023-01-30,0.0,21.1,29.2,14.3,-6.119002869594083,-0.2993815815346806,-1.4079297094364116,0,Solar
9192,SF004371040,"POTCHEFSTROOM, SF",-26.733,27.067,1351.0,2022-09-28,0.0,24.6,33.1,16.1,-11.442276968397083,-0.12384595683046405,-1.7298190226958314,0,Solar
6203,SF000508870,"WILLOWMORE, SF",-33.283,23.5,842.0,2023-03-11,0.0,18.3,33.0,14.0,-7.841212089023712,-2.2793206934134935,1.851375260184982,0,Solar
3841,SF000414170,"MALMESBURY, SF",-33.467,18.717,102.0,2023-04-02,0.0,18.0,33.5,11.3,-6.863173315992773,-3.745720813616022,3.486491120254671,0,Solar
1997,SF002613650,"BLOEMFONTEIN AIRPOR, SF",-29.1,26.3,1354.0,2023-02-09,0.0,19.7,26.5,15.2,-3.841772504426504,0.7618873827451924,-2.612941730542281,0,Solar
10377,SF000236780,"ROBERTSON, SF",-33.8,19.9,204.0,2023-02-23,0.0,20.6,33.8,11.8,-8.383362966274907,-3.112497624267537,2.3107794873342273,0,Solar
9307,SF004371040,"POTCHEFSTROOM, SF",-26.733,27.067,1351.0,2023-02-17,2.0,19.0,26.5,17.5,-4.568269040645074,3.2739507280614486,-2.2086570906009273,0,Solar
11882,SFM00068842,"PORT ELIZABETH INTERNATIONAL, SF",-33.985,25.617,68.9,2023-02-25,0.8,20.3,24.8,17.8,-3.927105283019417,3.2882571392230466,-4.469778781403554,0,Solar
